"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 09- 15","85.10","88.91","89.15","84.53","235.36K","-3.82%"
"2022- 09- 14","88.48","87.94","90.19","86.18","335.38K","1.34%"
"2022- 09- 13","87.31","88.09","89.31","85.06","348.00K","-0.54%"
"2022- 09- 12","87.78","86.25","89.10","85.16","275.10K","1.14%"
"2022- 09- 09","86.79","82.80","87.20","82.71","305.19K","3.89%"
"2022- 09- 08","83.54","81.91","84.25","81.20","342.76K","1.95%"
"2022- 09- 07","81.94","86.93","87.76","81.50","380.78K","-5.69%"
"2022- 09- 06","86.88","86.84","90.39","86.18","420.26K","-2.34%"
"2022- 09- 05","88.96","88.27","90.37","87.98","","0.80%"
"2022- 09- 04","88.25","86.91","88.28","86.91","","1.59%"
"2022- 09- 02","86.87","86.56","89.66","86.35","277.53K","0.30%"
"2022- 09- 01","86.61","88.83","89.63","85.98","305.11K","-3.28%"
"2022- 08- 31","89.55","92.31","92.73","88.27","344.15K","-2.28%"
"2022- 08- 30","91.64","96.90","97.66","90.54","386.27K","-5.54%"
"2022- 08- 29","97.01","92.96","97.37","92.29","283.46K","4.24%"
"2022- 08- 26","93.06","93.06","94.02","91.08","288.39K","0.58%"
"2022- 08- 25","92.52","95.35","95.76","92.29","279.88K","-2.50%"
"2022- 08- 24","94.89","93.78","95.40","92.79","320.39K","1.23%"
"2022- 08- 23","93.74","90.55","94.22","90.42","285.61K","3.89%"
"2022- 08- 22","90.23","89.65","91.26","86.60","24.87K","-0.59%"
"2022- 08- 19","90.77","90.39","92.09","88.38","58.71K","0.30%"
"2022- 08- 18","90.50","87.39","91.46","87.32","80.03K","2.71%"
"2022- 08- 17","88.11","87.10","89.16","85.88","230.35K","1.83%"
"2022- 08- 16","86.53","87.93","90.65","85.73","305.37K","-3.22%"
"2022- 08- 15","89.41","91.94","92.10","86.82","275.44K","-2.91%"
"2022- 08- 12","92.09","94.09","94.81","91.16","264.95K","-2.38%"
"2022- 08- 11","94.34","91.55","95.05","91.24","341.23K","2.62%"
"2022- 08- 10","91.93","90.51","92.43","87.66","383.77K","1.58%"
"2022- 08- 09","90.50","90.69","92.65","89.05","347.05K","-0.29%"
"2022- 08- 08","90.76","88.46","90.89","87.22","340.16K","1.97%"
"2022- 08- 05","89.01","88.06","90.76","87.01","350.02K","0.53%"
"2022- 08- 04","88.54","90.95","91.90","87.55","334.93K","-2.34%"
"2022- 08- 03","90.66","93.83","96.57","90.38","395.10K","-3.98%"
"2022- 08- 02","94.42","93.75","96.47","92.59","328.54K","0.56%"
"2022- 08- 01","93.89","98.46","98.65","92.42","365.29K","-4.80%"
"2022- 07- 29","98.62","97.30","101.88","96.41","349.37K","2.28%"
"2022- 07- 28","96.42","98.17","99.84","96.04","318.40K","-0.86%"
"2022- 07- 27","97.26","95.60","98.59","94.30","321.90K","2.40%"
"2022- 07- 26","94.98","96.33","99.00","94.76","310.04K","-1.78%"
"2022- 07- 25","96.70","95.10","96.94","93.01","279.00K","2.11%"
"2022- 07- 22","94.70","96.51","97.95","94.23","307.57K","-1.71%"
"2022- 07- 21","96.35","99.91","99.99","94.59","318.91K","-5.78%"
"2022- 07- 20","102.26","103.60","104.39","101.51","28.96K","-1.88%"
"2022- 07- 19","104.22","102.00","104.46","99.85","63.15K","1.58%"
"2022- 07- 18","102.60","97.27","102.80","95.85","84.67K","5.13%"
"2022- 07- 15","97.59","96.39","99.03","94.57","240.77K","1.89%"
"2022- 07- 14","95.78","96.57","97.00","90.56","387.53K","-0.54%"
"2022- 07- 13","96.30","95.89","97.96","93.67","347.19K","0.48%"
"2022- 07- 12","95.84","103.46","103.49","95.35","398.55K","-7.93%"
"2022- 07- 11","104.09","104.79","105.05","100.89","348.57K","-0.67%"
"2022- 07- 08","104.79","102.22","105.24","101.51","327.46K","2.01%"
"2022- 07- 07","102.73","98.22","104.48","96.57","379.86K","4.26%"
"2022- 07- 06","98.53","100.36","102.14","95.10","444.11K","-0.97%"
"2022- 07- 05","99.50","108.80","111.45","97.43","594.22K","-9.87%"
"2022- 07- 04","110.40","108.17","110.77","107.25","","2.04%"
"2022- 07- 03","108.19","108.67","108.81","108.14","","-0.22%"
"2022- 07- 01","108.43","106.01","109.34","104.56","305.34K","2.52%"
"2022- 06- 30","105.76","109.70","110.45","105.10","362.89K","-3.66%"
"2022- 06- 29","109.78","111.86","114.05","109.22","322.06K","-1.77%"
"2022- 06- 28","111.76","110.18","112.22","109.62","306.75K","2.00%"
"2022- 06- 27","109.57","107.22","110.54","105.60","282.91K","1.81%"
"2022- 06- 24","107.62","103.99","108.58","103.64","321.59K","3.21%"
"2022- 06- 23","104.27","104.42","107.05","102.32","346.36K","-1.81%"
"2022- 06- 22","106.19","109.54","109.76","101.53","432.72K","-4.03%"
"2022- 06- 21","110.65","110.58","112.47","108.72","28.46K","1.66%"
"2022- 06- 20","108.84","108.97","109.17","106.84","","-0.09%"
